Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
201,1455,My Name is Red,Orhan Pamuk,1998,Turkish,Turkish,400-550,147000,1279,319,"Experimental, Fiction, Historical fiction, Literary Fiction, Mystery, Social & Cultural Fiction","Jealousy, Love, Murder, Power, Storytelling, tradition","Istanbul, Turkey"
202,2256,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1976,American,English,276-384,60000,1282,318,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Courage, Education, Family, Family dynamics, Friendship, Identity, Injustice, Land Ownership, Racism","Mississippi, Southern US, United States"
203,2871,Devil in a Blue Dress,Walter Mosley,1990,American,English,200-300,72000,1288,318,"Crime, Fiction, Hard Boiled, Mystery, noir","African American, Detective, Investigation, Justice, Racism, Survival, Violence, corruption, secrets","California, Los Angeles, United States"
204,3012,The Stories of Raymond Carver,Raymond Carver,1981,American,English,447,,1290,318,"Fiction, Literary Fiction, Psychological, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Communication, Despair, Economic Struggle, Family, Family dynamics, Identity, Marriage, Mortality, alcoholism, isolation, relationships",Fictional Location
205,5911,A Judgement In Stone,Ruth Rendell,1977,British,English,200-250,63000,1303,313,"Crime, Fiction, Mystery, Psychological, Thriller & Suspense","Family, Murder, Psychology, class, isolation, secrets",England
206,1235,Suttree,Cormac McCarthy,1979,American,English,470-480,170000,1305,313,"Dark, Fiction, Literary Fiction, Picaresque, Realistic Fiction, Social & Cultural Fiction","Death, Existentialism, Guilt, History, Mental illness, Redemption, Southern Culture, Southern Gothic, Survival, alcoholism, isolation","Knoxville, Tennessee, United States"
207,1961,Cathedral,Raymond Carver,1983,American,English,200-230,,1306,313,"Experimental, Fiction, Literary Fiction, Psychological, Short Story Collection, Social & Cultural Fiction","Blindness, Communication, Connection, Empathy, Marriage, Perception, Short stories, Transformation, alcoholism, isolation","Fictional Location, United States"
208,2243,Ceremony,Leslie Marmon Silko,1977,American,English,262,60000,1307,312,"Coming of age, Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Community, Culture, Healing, Indians of North America, Indigenous, Indigenous Identity, Indigenous People, Indigenous Perspectives, Native American, Racism, Storytelling, Trauma, War, tradition","Laguna Pueblo, New Mexico, United States"
209,1949,Sandman,Neil Gaiman,1989,British,English,616,,1309,311,"Comics & Graphic Novels, Fantasy, Fiction, Horror, Magical Realism, Mythological, Postmodern, Speculative Fiction, Travel","Destiny, Dreams, Freedom, Identity, Mortality, Mythology, Power, change",Fictional Location
210,2876,The Emigrants,W. G. Sebald,1992,German,German,237,,1310,311,"Experimental, Fiction, Literary Fiction, Social & Cultural Fiction","Colonies, Emigration, Emigration and immigration, European History, Exile, Family, Friendship, History, Holocaust, Loss, Memory, Trauma","Australia, Canada, England, Germany, Great Britain, United States"
211,3965,Kiss of the Spider Woman,Manuel Puig,1976,Argentinian,Spanish,280-320,60000,1313,311,"Dark, Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction","Lgbtq+, Movies, Prisoners, prison",Argentina
212,1936,Maus,Art Spiegelman,1980,American,English,296,,1315,310,"Allegorical, Comics & Graphic Novels, Cultural, Memoir, Nonfiction","History, Holocaust, Jewish, Medicine, Military, World War II","Europe, France, Germany, Poland, United States"
213,5460,Kafka On The Shore,Haruki Murakami,2002,Japanese,Japanese,450-550,139000,1316,310,"Fiction, Literary Fiction, Magical Realism, Postmodern, Psychological, Science fiction, Speculative Fiction, philosophical","Dreams, Family, Fate, Love, Memory, Music, Philosophy, Violence, War, cats, orphans","Fictional Location, Japan, Tokyo"
214,3458,Matilda,Roald Dahl,1988,British,English,240,40000,1325,309,"Children's books, Coming of age, Fiction, Humor, Magical Realism","Books, Bullying, Education, Family, Friendship, Intelligence, Juvenile, Revenge, School, Schools & Teaching, Teachers, telekinesis",Fictional Location
215,372,Olive Kitteridge,Elizabeth Strout,2008,American,English,270-320,62000,1327,309,"Contemporary, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Tragedy","Aging, Death, Family, Family dynamics, Friendship, Grief, Infidelity, Marriage, Mental Health, Short stories, Teachers, Women's Studies, depression, loneliness, relationships","Crosby, Maine, United States"
216,4224,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,2009,Polish,Polish,250-300,,1336,307,"Dark, Fiction, Literary Fiction, Magical Realism, Mystery, Social & Cultural Fiction, philosophical","Animals, Astrology, Environmentalism, Justice, Murder, Nature, Old age, Philosophy, isolation",Poland
217,2465,Like Water For Chocolate,Laura Esquivel,1989,Mexican,Spanish,200-300,64000,1340,307,"Culinary, Fiction, Historical fiction, Literary Fiction, Magical Realism, Romance","Duty, Emotion, Family, Love, Marriage, Passion, cooking, food, rebellion, secrets, tradition",Mexico
218,2058,Salvage the Bones,Jesmyn Ward,2011,American,English,258-288,80000,1342,306,"Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Adolescence, Community, Death & Grief, Family, Family dynamics, Hurricane Katrina, Motherhood, Poverty, Resilience, Southern Culture, Survival, race","Bois Sauvage, Mississippi, Southern US, United States"
219,15027,The Adversary,Emmanuel Carrère,2000,French,French,208,60000,1344,306,"Nonfiction, Psychological, True crime","Deception, Family, Fraud, Investigation, Mental illness, Murder, Psychology, Reportage",France
220,624,The Bone People,Keri Hulme,1984,New Zealand,English,450-600,130000,1347,305,"Drama, Fiction, Literary Fiction, Magical Realism, Psychological, Social & Cultural Fiction","Culture, Family, Friendship, Healing, Indigenous, Indigenous Identity, Indigenous People, Mythology, Shipwrecks, Survival, Trauma, abuse, isolation",New Zealand
221,3548,Veronica,Mary Gaitskill,2005,American,English,228,,1348,305,"Contemporary, Fiction, Literary Fiction, Psychological, Realistic Fiction, Social & Cultural Fiction","Death, Death & Grief, Friendship, Illness, Memory, Modeling, Self-discovery, relationships","New York, New York City, United States"
222,1142,Winter's Tale,Mark Helprin,1983,American,English,600-750,200000,1352,304,"Fantasy, Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern, Speculative Fiction","Destiny, Identity, Love, Mortality, Redemption, Time","Hope, New York, New York City, United States"
223,643,Earthly Powers,Anthony Burgess,1980,British,English,600-700,250000,1353,304,"Allegorical, Dark, Fiction, Literary Fiction, Postmodern, philosophical","Christianity, Family, Lgbtq+","England, Italy, Malta, United Kingdom, United States"
224,664,The Collected Stories of Eudora Welty,Eudora Welty,1980,American,English,672-720,,1354,303,"Fiction, Literary Fiction, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Family, Family dynamics, Friendship, Identity, Memory, Mortality, Social Class, Southern Culture, change, human relationships, isolation, southern life, tradition","Mississippi, Southern US, United States"
225,13382,A Month In The Country,J. L. Carr,1980,British,English,112,40000,1356,303,"Fiction, Historical fiction, Literary Fiction, Pastoral, Realistic Fiction","Friendship, Grief, Healing, Love, Memory, War","Yorkshire, England"
226,956,"Gödel, Escher, Bach",Douglas Hofstadter,1979,American,English,777,193000,1361,301,"Encyclopedic, Experimental, Nonfiction, Postmodern, philosophical","Cognition, History, History Of Science, Infinity, Mathematics, Music, Philosophy, Science, Self-reference, logic",Fictional Location
227,1008,Voices from Chernobyl,Svetlana Alexievich,1997,Belarusian,Russian,236-384,,1363,300,"Cultural, Nonfiction, Political, True Story, True crime","Environmental Impact, European History, Family, Government Response, History, Human Suffering, Loss, Memory, Nuclear Disaster, Reportage, Resilience, Survival, Trauma, fear","Chernobyl, Ukraine"
228,2024,The Hunger Games,Suzanne Collins,2008,American,English,374,99750,1365,300,"Adventure, Dystopian, Fiction, Science fiction, Speculative Fiction, Thriller & Suspense, Young adult","Juvenile, Novela, Survival",Fictional Location
229,524,"Guns, Germs, and Steel",Jared Diamond,1997,American,English,480-560,250000,1366,300,"Cultural, Encyclopedic, Nonfiction, Travel, philosophical","Agriculture, Disease, Geography, History, History Of Science, Life Sciences, Science, Society, Technology, colonization, inequality","Africa, Americas, Asia, Europe, Oceania, Sub-Saharan Africa"
230,11692,Too Loud A Solitude,Bohumil Hrabal,1976,Czech,Czech,98,39000,1367,299,"","",""
231,3533,A Brief History of Seven Killings,Marlon James,2014,Jamaican,English,688,204000,1369,298,"Crime, Fiction, Historical fiction, Literary Fiction, Political, Social & Cultural Fiction, Thriller & Suspense","Assassination, Drugs, Gangs, Journalism, Music, Politics, Survival, Violence, corruption","Jamaica, Kingston"
232,4278,Evicted,Matthew Desmond,2016,American,English,300-400,150000,1370,298,"Biography, Cultural, Family & Relationships, Nonfiction, Political","American History, Economic hardship, History, Homelessness, International Development, Landlords, Poverty, Social Justice, Urban Life, eviction, housing, inequality","Milwaukee, United States, Wisconsin"
233,275,The BFG,Roald Dahl,1982,British,English,208,30555,1380,297,"Adventure, Children's books, Fantasy, Fiction, Humor, Speculative Fiction","Courage, Dreams, Friendship, Giants, Juvenile, Kidnapping, Teenagers, imagination, orphans","England, Fictional Location"
234,2247,The Mists of Avalon,Marion Zimmer Bradley,1983,American,English,876-912,419000,1382,296,"Arthurian, Fantasy, Fiction, Historical fiction, Retellings, Speculative Fiction","Betrayal, Christianity, Destiny, Family, Identity, Mythology, Power, Women's Studies","Fictional Location, Great Britain"
235,273,Lanark,Alasdair Gray,1981,Scottish,English,560,198000,1384,296,"Experimental, Fiction, Literary Fiction, Magical Realism, Postmodern, philosophical","Alienation, Dreams, Existentialism, Illness, Mental Health, Politics, Society, relationships","Fictional Location, Scotland"
236,5713,The Twits,Roald Dahl,1980,British,English,76-96,13000,1387,295,"Absurdist, Children's books, Dark Humor, Fiction, Humor","Animal welfare, Animals, Conduct of life, Cruelty, Family, Human behavior, Juvenile, Pranks, Revenge, Transformation, Treatment",Fictional Location
237,11652,Concrete,Thomas Bernhard,1982,Austrian,German,150-200,41000,1392,292,"Absurdist, Experimental, Fiction, Literary Fiction, Postmodern, Psychological","Despair, Failure, Illness, Obsession, Procrastination, isolation, writing","Austria, Vienna"
238,2851,A Game of Thrones,George R. R. Martin,1996,American,English,694-835,298000,1403,289,"Fantasy, Fiction, High Fantasy, Historical fiction, Sagas, Speculative Fiction, epic","Ambition, Betrayal, Honor, Identity, Loyalty, Power, Revenge, Survival",Fictional Location
239,11668,Mars,Fritz Zorn,1977,Swiss,German,315,,1407,288,"Memoir, Modernist, Nonfiction, philosophical","Cancer, Death, Existentialism, Family, Illness, Mortality, Psychology, Society, Suffering",Fictional Location
240,3421,All the Light We Cannot See,Anthony Doerr,2014,American,English,530-560,156000,1412,287,"Coming of age, Fiction, Historical fiction, Literary Fiction, Realistic Fiction, military fiction","Blindness, Family, Friendship, Radio, Resistance, Science, Survival, War","France, Germany, Hope, Paris, Russia, Saint-Malo"
241,4060,Faceless Killers,Henning Mankell,1991,Swedish,Swedish,280-300,85000,1415,287,"Crime, Fiction, Mystery, Realistic Fiction, Thriller & Suspense","Detective, Family, Immigration, Investigation, Justice, Murder, Police, Racism, Violence","Sweden, Ystad"
242,1302,Consider The Lobster,David Foster Wallace,2005,American,English,343,130000,1418,286,"Humor, Nonfiction, Pop Culture, Postmodern, Travel, philosophical","Culture, Ethics, Existentialism, Identity, Language & Writing, consumerism, morality","Media, United States"
243,1393,Random Family,Adrian Nicole LeBlanc,2003,American,English,432,143000,1420,286,"Cultural, Family & Relationships, Memoir, Nonfiction, True crime","Case studies, Drugs, Family, Incarceration, Parenting, Poverty, Social sciences, Survival, Teenage pregnancy, Youth, relationships","Hope, New York, New York City, United States"
244,3033,Mason & Dixon,Thomas Pynchon,1997,American,English,700-800,325000,1428,284,"Encyclopedic, Experimental, Fiction, Historical fiction, Literary Fiction, Postmodern","Alternate History, American History, Astronomy, Exploration, Friendship, History, Politics, Science, Slavery, Surveying, colonialism","Maryland, Pennsylvania, United States"
245,4542,The Song of Achilles,Madeline Miller,2011,American,English,352-416,121000,1430,284,"Fiction, Historical fiction, Literary Fiction, Mythological, Romance, Tragedy","Destiny, Friendship, Heroism, Honor, Lgbtq+, Love, Mortality, Mythology, Sacrifice, War","Fictional Location, Greece, Troy"
246,6030,The Tongue Set Free,Elias Canetti,1977,Austrian,German,278,,1432,283,"Autobiography, Cultural, Memoir, Nonfiction, Poetry","Childhood and youth, Culture, Education, Family, History, Interviews, Language, Memory, Trauma, Youth, childhood","Austria, Bulgaria, England, Manchester, Ruse, Switzerland, Vienna, Zurich"
247,2341,The Children of Men,P. D. James,1992,British,English,240-320,78903,1435,283,"Dystopian, Fiction, Literary Fiction, Post Apocalyptic, Speculative Fiction, philosophical","Despair, Faith, Freedom, Infertility, Survival, Totalitarianism, isolation, oppression, rebellion","England, Hope, United Kingdom"
248,3392,Never Mind,Edward St Aubyn,1992,British,English,160-200,30000,1436,282,"Dark Humor, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy","Addiction, Family, Family dynamics, Mental Health, Parenting, Trauma, Wealth, abuse, childhood, class, relationships","England, France, Provence"
249,5992,Flights,Olga Tokarczuk,2007,Polish,Polish,400-450,,1437,282,"Encyclopedic, Fiction, Literary Fiction, Magical Realism, Postmodern, Travel","Culture, Exploration, Human anatomy, Interpersonal relations, Mortality, Movement, Philosophy, Science","Czech Republic, Netherlands, Poland, United Kingdom, United States"
250,10049,Pushkin House,Andrey Bitov,1978,Russian,Russian,300-400,,1438,282,"Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, philosophical","Culture, Existentialism, History, Intellectualism, Memory, Philosophy","Leningrad, Soviet Union"
251,1557,Oranges are not the only Fruit,Jeanette Winterson,1985,British,English,176-224,61000,1439,282,"Allegorical, Coming of age, Fiction, Literary Fiction, Social & Cultural Fiction","Adoption, Faith, Family, Family dynamics, Lgbtq+, Mothers & Children, Sexuality, Teenagers, conflict, homosexuality, rebellion",England
252,13609,Chaos,James Gleick,1987,American,English,200-400,,1447,279,"Biography, Nonfiction, Technical, Travel, philosophical","Deterministic Systems, Fractals, History, History Of Science, Mathematics, Nonlinear Dynamics, Order and Disorder, Predictability, Science, chaos theory, complexity",Fictional Location
253,3560,The Beauty Of The Husband,Anne Carson,2001,Canadian,English,149,,1457,277,"Experimental, Fiction, Literary Fiction, Poetry, Postmodern, Tragedy","Adultery, Beauty, Desire, Heartbreak, Infidelity, Love, Marriage, Memory",Fictional Location
254,513,What We Talk About When We Talk About Love,Raymond Carver,1981,American,English,159-176,23000,1458,277,"Fiction, Literary Fiction, Modernist, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Communication, Divorce, Family, Heartbreak, Human Condition, Infidelity, Love, Marriage, Short stories, Violence, alcoholism, realism, relationships",Fictional Location
255,3383,A Perfect Spy,John le Carré,1986,British,English,400-700,128000,1459,277,"Fiction, Literary Fiction, Psychological, Spy, Thriller & Suspense","Betrayal, Deception, Espionage, Loyalty, Politics, secrets","Czech Republic, England, Germany, Great Britain"
256,1969,Presumed Innocent,Scott Turow,1987,American,English,300-400,160000,1468,276,"Crime, Fiction, Mystery, Psychological, Thriller & Suspense","Betrayal, Deception, Infidelity, Justice, Law, Murder, Politics, Trial, corruption","Chicago, United States"
257,4166,Station Eleven,Emily St John Mandel,2014,Canadian,English,300-400,84000,1473,276,"Dystopian, Fiction, Literary Fiction, Post Apocalyptic, Social & Cultural Fiction, Speculative Fiction","Civilization, Community, Memory, Survival, Technology, Theater, pandemic, relationships","Canada, Great Lakes, Hope, Toronto, United States"
258,360,Independence Day,Richard Ford,1995,American,English,451,190000,1475,275,"Drama, Fiction, Literary Fiction, Psychological, Realistic Fiction, Social & Cultural Fiction","American dream, Divorce, Family, Midlife crisis, Parenting, Real Estate, Self-discovery, relationships","New Jersey, United States"
259,3225,Eye Of The Needle,Ken Follett,1978,British,English,300-400,118000,1479,275,"Fiction, Historical fiction, Mystery, Spy, Thriller & Suspense","Betrayal, Deception, Espionage, Love, Murder, Spies, Survival, War, World War II","England, London, Scotland"
260,1481,Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,Nigerian,English,433,146500,1480,275,"Cultural, Family & Relationships, Fiction, Historical fiction, Literary Fiction, Realistic Fiction","Betrayal, Education, Ethnicity, Family, Family dynamics, Love, Politics, Survival, War, colonialism","Africa, Biafra, Nigeria, West Africa"
261,11815,The Bourne Identity,Robert Ludlum,1980,American,English,544,192000,1481,275,"Crime, Fiction, Mystery, Spy, Thriller & Suspense","Amnesia, Assassins, Conspiracy, Deception, Espionage, Memory, Survival, Violence, secrets","France, Paris, United States, Zurich"
262,3433,Behind the Beautiful Forevers,Katherine Boo,2012,American,English,256,100000,1483,274,"Cultural, Memoir, Nonfiction, Political, True Story","Asian History, Community, Dreams, Family, Family dynamics, History, Injustice, International Development, Poverty, Reportage, Survival, corruption, inequality","Hope, India, Mumbai"
263,1382,How the Garcia Girls Lost Their Accents,Julia Alvarez,1991,Dominican,English,290-336,72000,1486,273,"Absurdist, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction","Assimilation, Culture, Family, Family dynamics, Immigrants, Immigration, Memory, Politics, Siblings, Trauma, Women's Studies, gender, rebellion","Dominican Republic, Latin American, United States"
264,4567,The Duke and I,Julia Quinn,2000,American,English,300-400,104000,1487,273,"","",""
265,5433,Selected Stories,William Trevor,1992,Irish,English,576,,1488,273,"Fiction, Literary Fiction, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Betrayal, Family, Friendship, Identity, Love, Marriage, Memory, Regret, isolation, loneliness",Ireland
266,627,The Famished Road,Ben Okri,1991,Nigerian,English,500-600,156000,1489,273,"Fiction, Literary Fiction, Magical Realism, Modernist, Social & Cultural Fiction","Dreams, Family, Politics, Poverty, Spirits, Struggle, Survival, corruption, tradition","Africa, Nigeria, West Africa"
267,4553,The Women of Brewster Place,Gloria Naylor,1982,American,English,192,59000,1494,271,"Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Urban","Community, Family, Family dynamics, Friendship, Identity, Racism, Resilience, Struggle, Women","Fictional Location, Hope"
268,3461,Jurassic Park,Michael Crichton,1990,American,English,400-500,127000,1515,269,"Adventure, Fiction, Horror, Science fiction, Speculative Fiction, Thriller & Suspense","Corporate Greed, Ethics, Genetics, Nature vs. Man, Palaeontology, Survival, Technology, chaos theory, dinosaurs","Costa Rica, Isla Nublar, United States"
269,5750,Parable Of The Sower,Octavia E. Butler,1993,American,English,300-350,66000,1518,268,"Dystopian, Fiction, Post Apocalyptic, Social & Cultural Fiction, Speculative Fiction","Community, Empowerment, Environmental Collapse, Family, Identity, Social Inequality, Survival, change","California, Hope, Southern California, United States"
270,2020,The Devil In The White City,Erik Larson,2003,American,English,447,145000,1525,266,"Biography, Nonfiction, Travel, True crime","American History, Architecture, Case studies, Crafts, Hobbies & Home, Deception, Engineering, Exposition, History, Innovation, Murder, Psychopathy, Technology, Urban Planning","Chicago, Illinois, United States"
271,4015,Hawksmoor,Peter Ackroyd,1985,British,English,200-300,78000,1535,264,"Fiction, Gothic, Literary Fiction, Magical Realism, Mystery, Postmodern","Architecture, Duality, Guilt, Investigation, Murder, Time","England, London"
272,644,The Unconsoled,Kazuo Ishiguro,1995,British,English,500-550,264000,1540,263,"Fiction, Literary Fiction, Modernist, Postmodern, Psychological, Surreal","Alienation, Artistry, Communication, Disappointment, Expectations, Memory, Music","Europe, Fictional Location"
273,12806,A Far Cry From Kensington,Muriel Spark,1988,British,English,192,,1541,263,"Drama, Fiction, Literary Fiction, Postmodern, Satire, Social & Cultural Fiction","Blackmail, Mental Health, Publishing, Scandal, Workplace Dynamics, relationships","England, London"
274,278,Oscar and Lucinda,Peter Carey,1988,Australian,English,500-550,134000,1548,262,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Romance, Travel","Gambling, Movies","Australia, England"
275,1959,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,1997,American,English,353-368,134476,1551,262,"Experimental, Humor, Nonfiction, Postmodern, Travel","Advertising, Culture, Entertainment, Essays, Irony, Sports, Television, Tennis, cruise ships","Caribbean, Media, United States"
276,4008,Empire of the Sun,J. G. Ballard,1984,British,English,200-300,92000,1554,261,"Coming of age, Fiction, Historical fiction, Social & Cultural Fiction, Tragedy","Adversity, Espionage, Family, History, Internment, Resilience, Survival, Trauma, War, World War II, childhood, conflict","China, Hope, Shanghai"
277,2015,Life After Life,Kate Atkinson,2013,British,English,400-500,173000,1556,261,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Psychological, Realistic Fiction","Alternate History, Death, Family, Fate, Memory, Rebirth, Resilience, Survival, Time travel, Trauma, War, World War II","England, Germany, Great Britain"
278,3977,The Cement Garden,Ian McEwan,1978,British,English,144-153,41000,1564,259,"Dark, Fiction, Horror, Literary Fiction, Psychological, Speculative Fiction","Adolescence, Death & Grief, Family, Family dynamics, Psychological Trauma, Survival, isolation, secrets","England, Germany"
279,9659,Past Continuous,Yaakov Shabtai,1977,Israeli,Hebrew,280-320,,1569,257,"Contemporary, Drama, Family & Relationships, Fiction, Postmodern, Social & Cultural Fiction","Alienation, Death, Existentialism, Family, Friendship, Love, Memory, Regret, Time","Israel, Tel Aviv"
280,83,Snow Crash,Neal Stephenson,1992,American,English,450-500,203000,1580,256,"Cyberpunk, Dystopian, Fiction, Postmodern, Science fiction, Speculative Fiction","Corporate power, Dystopia, Hacker Culture, Identity, Information technology, Linguistics, Virtual reality, surveillance","Los Angeles, United States"
281,5685,"Ronia, The Robber's Daughter",Astrid Lindgren,1981,Swedish,Swedish,176-224,31000,1581,256,"Adventure, Children's books, Coming of age, Fantasy, Fiction, Middle Grade, Speculative Fiction","Courage, Family, Friendship, Nature, Robbery, conflict","Fictional Location, Independence"
282,362,The Hours,Michael Cunningham,1998,American,English,230,98000,1589,255,"Drama, Experimental, Fiction, Literary Fiction, Magical Realism, Tragedy","Death, Friendship, Lgbtq+, Marriage, Mental illness, Motherhood, Suicide, Women's Studies, depression, homosexuality, relationships","New York, United States"
283,6004,Nostalgia,Mircea Cărtărescu,1989,Romanian,Romanian,300-400,,1599,254,"Experimental, Fiction, Literary Fiction, Magical Realism, Postmodern, Surreal","Dreams, Existence, Memory, Nostalgia, Time, Unknown, childhood, imagination, reality","Bucharest, Romania"
284,1944,The House on Mango Street,Sandra Cisneros,1984,American,English,110-134,25000,1601,253,"Allegorical, Coming of age, Fiction, Literary Fiction, Realistic Fiction","Adolescence, Community, Culture, Dreams, Family, Friendship, Juvenile, Poverty, Self-discovery, Short stories, gender","Chicago, Illinois, United States"
285,584,Love Medicine,Louise Erdrich,1984,American,English,275-333,97000,1604,253,"Absurdist, Fiction, Historical fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Family, Family dynamics, Indians of North America, Indigenous, Indigenous Identity, Indigenous People, Native American, Women's Studies","North Dakota, United States"
286,3277,The Colour of Magic,Terry Pratchett,1983,British,English,206,64000,1605,252,"Fantasy, Fiction, Humor, Picaresque, Satire, Speculative Fiction","Death, Dragons, Gods, Heroism, Magic, Tourism, Wizards",Fictional Location
287,16339,Dora Bruder,Patrick Modiano,1997,French,French,150-200,,1607,252,"Biography, Nonfiction, Travel","Disappearance, European History, History, Holocaust, Identity, Investigation, Jewish Persecution, Loss, Memory, World War II","France, Paris"
288,1918,Postwar,Tony Judt,2005,British,English,800-900,300000,1613,250,"Cultural, Encyclopedic, Nonfiction, Political","American History, Cultural Transformation, Economic development, European History, European Integration, History, Memory, Political Ideologies, Reconstruction, Sociology, nationalism","Cold War, Europe, Germany, United States"
289,1907,Angela's Ashes,Frank McCourt,1996,American,English,350-400,160000,1618,249,"Cultural, Family & Relationships, Memoir, Nonfiction, Realistic Fiction","Childhood and youth, Death, Education, Family, History, Illness, Immigration, Poverty, Resilience, alcoholism, childhood","Europe, Ireland, Limerick, United States"
290,4126,Soldiers of Salamis,Javier Cercas,2001,Spanish,Spanish,384,78000,1619,249,"Fiction, Historical fiction, Literary Fiction, Political, Postmodern, military fiction","Heroism, History, Memory, Politics, Survival, War","Salamis, Spain"
291,3569,Wizard of the Crow,Ngũgĩ wa Thiong’o,2006,Kenyan,English,768,248000,1620,249,"Allegorical, Fiction, Literary Fiction, Magical Realism, Political, Satire","Identity, Power, Resistance, Sociology, colonialism, corruption","Africa, East Africa, Fictional Location"
292,3540,"Sing, Unburied, Sing",Jesmyn Ward,2017,American,English,285-320,80000,1624,249,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Addiction, African American, Death, Family, Family dynamics, Ghosts, Grief, Incarceration, Racism, Southern Gothic, Violence","Mississippi, United States"
293,3231,Cat's Eye,Margaret Atwood,1988,Canadian,English,400-500,127000,1629,248,"Drama, Family & Relationships, Fiction, Literary Fiction, Psychological, Realistic Fiction","Bullying, Femininity, Friendship, Memory, Self-discovery, Trauma, childhood, relationships","Canada, Toronto"
294,891,The Beauty Myth,Naomi Wolf,1990,American,English,300-400,140000,1630,248,"Counselling, Cultural, Family & Relationships, Nonfiction, Political","Beauty, Body image, Cultural Standards, Gender and Sexuality, Media Influence, Patriarchy, Women's Studies, Womens Studies, consumerism, gender roles",United States
295,1366,Suite Française,Irène Némirovsky,2004,French,French,300-400,140000,1632,248,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Correspondence, Family, Family dynamics, History, Humanity, Love, Occupation, Survival, War, World War II, class, conflict","France, Paris"
296,1528,The Time Traveler's Wife,Audrey Niffenegger,2003,American,English,500-600,155000,1641,246,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Romance","Death & Grief, Family, Fate, Loss, Love, Marriage, Time travel, relationships","Chicago, United States"
297,4263,Zami,Audre Lorde,1982,American,English,256,72000,1643,245,"Cultural, Memoir, Nonfiction, Poetry","Activism, African American, Ethics, Family, Family dynamics, Friendship, Gender and Sexuality, Lgbtq+, Self-discovery, Sexuality, Women's Studies, Womens Studies, gender, oppression, race","Mexico, New York, New York City, United States"
298,645,Amongst Women,John McGahern,1990,Irish,English,184,60000,1648,245,"Drama, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction","Authority, Control, Family, Family dynamics, Irish, Memory, Mortality, Patriarchy, conflict, isolation, tradition",Ireland
299,2076,Pulphead,John Jeremiah Sullivan,2011,American,English,384,,1651,245,"Cultural, Nonfiction, Pop Culture, Short Story Collection, Travel","American Culture, Celebrity, Family, History, Identity, Music, Nature",United States
300,2449,London Fields,Martin Amis,1989,British,English,470-540,139000,1654,244,"Dark Humor, Fiction, Literary Fiction, Postmodern, Satire, Thriller & Suspense","Death & Grief, Deception, Doom, Infidelity, Love, Murder, Prophecy, Violence, relationships","England, London, United Kingdom"
301,10299,Train Dreams,Denis Johnson,2002,American,English,116,26000,1660,243,"Drama, Fiction, Historical fiction, Literary Fiction, Pastoral, Westerns","Grief, Hardship, Loss, Memory, Nature, Survival, Transformation, isolation","Idaho, United States"
302,1942,The Lovely Bones,Alice Sebold,2002,American,English,328,145000,1663,243,"Fiction, Literary Fiction, Magical Realism, Psychological, Tragedy","Afterlife, Family, Family dynamics, Grief, Healing, Justice, Loss, Memory, Murder, Teenagers, Trauma","Norristown, Pennsylvania, United States"
303,2692,The Last Good Kiss,James Crumley,1978,American,English,200-300,75000,1666,242,"Crime, Fiction, Hard Boiled, Mystery, noir","Deception, Detective, Family, Friendship, Missing persons, Private investigators, Violence, alcoholism","California, Los Angeles, United States"
304,14561,The Hunger Angel,Herta Müller,2009,German,German,290-300,,1670,241,"Fiction, Historical fiction, Literary Fiction, Modernist, Psychological, Social & Cultural Fiction","Human rights, Hunger, Labor camps, Memory, Survival, Trauma, isolation, oppression","Russia, Soviet Union"
